run_id	date	variant	status	changed_component	data_split	rfid	fid_face	arcface_fid	lpips	id_cos	now_median_mm	task_delta	fps_fp32	params_m	notes
inference_smoke	2026-04-20	ufacenet_tiny_all_tasks	keep	model_interface	random_tensor	NA	NA	NA	NA	NA	NA	NA	NA	NA	one-pass all analysis tasks plus FRec output shapes pass
frec_train_lfw_2step	2026-04-20	ufacenet_tiny_frec	keep	frec_training	LFW_funneled_512	NA	NA	NA	NA	NA	NA	NA	NA	NA	2-step real-data FRec training loop saved checkpoint and sample
reconstruction_eval_lfw_2step	2026-04-20	ufacenet_tiny_frec_eval	keep	reconstruction_metric_smoke	LFW_funneled_512_vs_1_sample	NA	0.652437	NA	NA	NA	NA	NA	NA	NA	color_moments_smoke Frechet score not paper FID
